"experience_level";"employment_type";"job_title";"salary_in_usd";"employee_residence";"remote_ratio";"company_location";"company_size"
"MI";"FT";"Data Scientist";79833;"DE";0;"DE";"L"
"SE";"FT";"ML Scientist";260000;"JP";0;"JP";"S"
"SE";"FT";"Big Data Engineer";109024;"GB";50;"GB";"M"
"MI";"FT";"Product Data Analyst";20000;"HN";0;"HN";"S"
"SE";"FT";"ML Engineer";150000;"US";50;"US";"L"
"EN";"FT";"Data Analyst";72000;"US";100;"US";"L"
"SE";"FT";"Lead Data Scientist";190000;"US";100;"US";"S"
"MI";"FT";"Data Scientist";35735;"HU";50;"HU";"L"
"MI";"FT";"Business Data Analyst";135000;"US";100;"US";"L"
"SE";"FT";"Lead Data Engineer";125000;"NZ";50;"NZ";"S"
"EN";"FT";"Data Scientist";51321;"FR";0;"FR";"S"
"MI";"FT";"Data Scientist";40481;"IN";0;"IN";"L"
"EN";"FT";"Data Scientist";39916;"FR";0;"FR";"M"
"MI";"FT";"Lead Data Analyst";87000;"US";100;"US";"L"
"MI";"FT";"Data Analyst";85000;"US";100;"US";"L"
"MI";"FT";"Data Analyst";8000;"PK";50;"PK";"L"
"EN";"FT";"Data Engineer";41689;"JP";100;"JP";"S"
"SE";"FT";"Big Data Engineer";114047;"PL";100;"GB";"S"
"EN";"FT";"Data Science Consultant";5707;"IN";50;"IN";"M"
"MI";"FT";"Lead Data Engineer";56000;"PT";100;"US";"M"
"MI";"FT";"ML Engineer";43331;"CN";0;"CN";"M"
"MI";"FT";"Product Data Analyst";6072;"IN";100;"IN";"L"
"SE";"FT";"Data Engineer";47899;"GR";50;"GR";"L"
"MI";"FT";"BI Data Analyst";98000;"US";0;"US";"M"
"MI";"FT";"Lead Data Scientist";115000;"AE";0;"AE";"L"
"EN";"FT";"Research Scientist";42000;"NL";50;"NL";"L"
"SE";"FT";"Data Engineer";33511;"MX";0;"MX";"S"
"SE";"FT";"ML Manager";117104;"CA";50;"CA";"L"
"MI";"FT";"Data Engineering Manager";59303;"DE";100;"DE";"S"
"EN";"FT";"Big Data Engineer";70000;"US";100;"US";"L"
"SE";"FT";"Data Scientist";68428;"GR";100;"US";"L"
"MI";"FT";"Research Scientist";450000;"US";0;"US";"M"
"MI";"FT";"Data Analyst";46759;"FR";50;"FR";"L"
"MI";"FT";"Data Engineer";74130;"AT";50;"AT";"L"
"MI";"FT";"Data Science Consultant";103000;"US";100;"US";"L"
"EN";"FT";"ML Engineer";250000;"US";50;"US";"L"
"EN";"FT";"Data Analyst";10000;"NG";100;"NG";"S"
"EN";"FT";"ML Engineer";138000;"US";100;"US";"S"
"MI";"FT";"Data Scientist";45760;"PH";100;"US";"S"
"MI";"FT";"ML Infrastructure Engineer";50180;"PT";0;"PT";"M"
"MI";"FT";"Data Engineer";106000;"US";100;"US";"L"
"MI";"FT";"Data Engineer";112872;"GB";50;"GB";"L"
"MI";"FT";"Data Scientist";76958;"GB";100;"GB";"S"
"SE";"FT";"Data Engineer";188000;"US";100;"US";"L"
"MI";"FT";"Data Scientist";105000;"US";100;"US";"L"
"MI";"FT";"Data Engineer";70139;"FR";50;"FR";"L"
"EN";"FT";"Data Analyst";6072;"IN";0;"IN";"S"
"EN";"FT";"Data Analyst";91000;"US";100;"US";"L"
"EN";"FT";"AI Scientist";45896;"DK";50;"DK";"S"
"EN";"FT";"Data Engineer";54742;"PK";100;"DE";"L"
"SE";"FT";"Principal Data Scientist";148261;"DE";100;"DE";"M"
"MI";"FT";"Data Scientist";38776;"ES";100;"ES";"M"
"MI";"FT";"Data Scientist";118000;"US";100;"US";"M"
"SE";"FT";"Data Scientist";120000;"US";50;"US";"L"
"MI";"FT";"Data Scientist";138350;"US";100;"US";"M"
"MI";"FT";"Data Engineer";110000;"US";100;"US";"L"
"MI";"FT";"Data Engineer";130800;"ES";100;"US";"M"
"SE";"FT";"Data Scientist";412000;"US";100;"US";"L"
"SE";"FT";"ML Engineer";45618;"HR";100;"HR";"S"
"EN";"FT";"Data Scientist";62726;"DE";50;"DE";"S"
"EN";"FT";"Data Scientist";49268;"DE";0;"DE";"S"
"SE";"FT";"Data Science Manager";190200;"US";100;"US";"M"
"EN";"FT";"Data Scientist";105000;"US";100;"US";"S"
"SE";"FT";"Data Scientist";91237;"AT";0;"AT";"S"
"MI";"FT";"Data Scientist";62726;"FR";50;"LU";"S"
"MI";"FT";"Data Scientist";42197;"FR";50;"FR";"S"
"EN";"FT";"Research Scientist";82528;"GB";50;"GB";"L"
"SE";"FT";"Data Scientist";53192;"FR";50;"FR";"L"
"MI";"FT";"BI Data Analyst";100000;"US";100;"US";"M"
"EN";"FT";"Data Analyst";80000;"US";100;"US";"M"
"SE";"FT";"Data Analytics Engineer";79197;"DE";100;"DE";"L"
"MI";"FT";"Data Engineer";140000;"US";100;"US";"L"
"MI";"FT";"Applied Data Scientist";54238;"GB";50;"CA";"L"
"MI";"FT";"ML Engineer";47282;"ES";100;"ES";"S"
"MI";"FT";"Data Engineer";28476;"PL";100;"PL";"L"
"EN";"FT";"Data Analyst";59102;"FR";50;"FR";"M"
"MI";"FT";"Data Analytics Engineer";110000;"US";100;"US";"L"
"SE";"FT";"Lead Data Analyst";170000;"US";100;"US";"L"
"SE";"FT";"Data Analyst";80000;"BG";100;"US";"S"
"SE";"FT";"Marketing Data Analyst";88654;"GR";100;"DK";"L"
"EN";"FT";"Data Science Consultant";76833;"DE";100;"DE";"S"
"MI";"FT";"Lead Data Analyst";19609;"IN";100;"IN";"L"
"SE";"FT";"Lead Data Engineer";276000;"US";0;"US";"L"
"EN";"FT";"Data Scientist";29751;"IN";50;"IN";"L"
"MI";"FT";"Cloud Data Engineer";89294;"SG";50;"SG";"L"
"MI";"FT";"Financial Data Analyst";450000;"US";100;"US";"L"
"EN";"FT";"Computer Vision Software Engineer";70000;"US";100;"US";"M"
"MI";"FT";"Computer Vision Software Engineer";95746;"DE";100;"US";"S"
"MI";"FT";"Data Analyst";75000;"US";0;"US";"L"
"SE";"FT";"Data Engineer";150000;"US";100;"US";"L"
"MI";"FT";"BI Data Analyst";36259;"HU";50;"US";"L"
"MI";"FT";"Data Analyst";62000;"US";0;"US";"L"
"MI";"FT";"Data Scientist";73000;"US";0;"US";"L"
"MI";"FT";"Data Analyst";51519;"GB";50;"GB";"L"
"MI";"FT";"Research Scientist";187442;"CA";100;"CA";"L"
"SE";"FT";"Data Engineer";115000;"US";100;"US";"S"
"SE";"FT";"Data Engineer";150000;"US";100;"US";"M"
"EN";"FT";"Data Engineer";30428;"IN";100;"IN";"L"
"SE";"FT";"ML Engineer";94564;"DE";50;"DE";"L"
"SE";"FT";"Director of Data Engineering";113476;"GB";100;"GB";"M"
"SE";"FT";"Lead Data Engineer";103160;"GB";100;"GB";"S"
"MI";"FT";"Data Engineer";45391;"NL";100;"NL";"L"
"EN";"FT";"ML Scientist";225000;"US";100;"US";"L"
"MI";"FT";"Data Scientist";50000;"NG";100;"NG";"L"
"MI";"FT";"Data Science Engineer";40189;"GR";100;"GR";"M"
"EN";"FT";"Data Analyst";90000;"US";100;"US";"S"
"MI";"FT";"Data Engineer";200000;"US";100;"US";"L"
"MI";"FT";"Big Data Engineer";60000;"ES";50;"RO";"M"
"SE";"FT";"Principal Data Engineer";200000;"US";100;"US";"M"
"EN";"FT";"Data Analyst";50000;"US";100;"US";"M"
"EN";"FT";"Applied Data Scientist";110037;"GB";0;"GB";"L"
"MI";"FT";"Principal Data Scientist";151000;"US";100;"US";"L"
"SE";"FT";"ML Scientist";120000;"US";50;"US";"S"
"MI";"FT";"Data Scientist";9466;"IN";0;"IN";"S"
"EN";"FT";"ML Engineer";20000;"IN";100;"IN";"S"
"SE";"FT";"Lead Data Scientist";40570;"IN";50;"IN";"L"
"EN";"FT";"ML Developer";100000;"IQ";50;"IQ";"S"
"EN";"FT";"Data Scientist";49646;"FR";50;"FR";"M"
"MI";"FT";"Applied ML Scientist";38400;"VN";100;"US";"M"
"SE";"FT";"Computer Vision Engineer";24000;"BR";100;"BR";"M"
"EN";"FT";"Data Scientist";100000;"US";0;"US";"S"
"MI";"FT";"Data Analyst";90000;"US";100;"US";"M"
"MI";"FT";"ML Engineer";63711;"JP";50;"JP";"S"
"MI";"FT";"ML Engineer";77364;"JP";50;"JP";"S"
"SE";"FT";"Principal Data Scientist";220000;"US";0;"US";"L"
"EN";"FT";"Data Scientist";80000;"US";100;"US";"M"
"MI";"FT";"Data Analyst";135000;"US";100;"US";"L"
"SE";"FT";"Data Science Manager";240000;"US";0;"US";"L"
"SE";"FT";"Data Engineering Manager";150000;"US";0;"US";"L"
"MI";"FT";"Data Scientist";82500;"US";100;"US";"S"
"MI";"FT";"Data Engineer";100000;"US";100;"US";"L"
"SE";"FT";"ML Engineer";82744;"BE";50;"BE";"M"
"MI";"FT";"Research Scientist";62649;"FR";50;"FR";"M"
"MI";"FT";"Data Engineer";90000;"US";100;"US";"L"
"SE";"FT";"Data Engineering Manager";153000;"US";100;"US";"L"
"SE";"FT";"Cloud Data Engineer";160000;"BR";100;"US";"S"
"SE";"FT";"Director of Data Science";168000;"JP";0;"JP";"S"
"MI";"FT";"Data Scientist";150000;"US";100;"US";"M"
"MI";"FT";"Data Scientist";75774;"CA";100;"CA";"L"
"EN";"FT";"Data Scientist";13400;"UA";100;"UA";"L"
"SE";"FT";"Data Science Manager";144000;"US";100;"US";"L"
"SE";"FT";"Data Science Engineer";127221;"CA";50;"CA";"L"
"MI";"FT";"Data Scientist";119059;"SG";100;"IL";"M"
"MI";"FT";"Applied ML Scientist";423000;"US";50;"US";"L"
"SE";"FT";"Data Analytics Manager";120000;"US";100;"US";"M"
"EN";"FT";"ML Engineer";125000;"US";100;"US";"S"
"MI";"FT";"Data Engineer";28369;"MT";50;"MT";"L"
"EN";"FT";"Data Science Consultant";63831;"DE";50;"DE";"L"
"SE";"FT";"Data Specialist";165000;"US";100;"US";"L"
"EN";"FT";"Data Engineer";80000;"US";100;"US";"L"
"EN";"FT";"BI Data Analyst";55000;"US";50;"US";"S"
"MI";"FT";"Data Architect";150000;"US";100;"US";"L"
"MI";"FT";"Data Architect";170000;"US";100;"US";"L"
"MI";"FT";"Data Engineer";82528;"GB";100;"GB";"L"
"EN";"FT";"Data Analyst";60000;"US";100;"US";"S"
"SE";"FT";"Principal Data Scientist";235000;"US";100;"US";"L"
"SE";"FT";"Research Scientist";60757;"PT";50;"PT";"L"
"SE";"FT";"Data Engineering Manager";174000;"US";100;"US";"L"
"MI";"FT";"Data Scientist";2859;"MX";0;"MX";"S"
"MI";"FT";"Data Scientist";40038;"CL";100;"CL";"L"
"EN";"FT";"ML Engineer";81000;"US";50;"US";"S"
"MI";"FT";"Data Scientist";5679;"IN";100;"US";"S"
"MI";"FT";"Big Data Engineer";22611;"IN";0;"IN";"L"
"MI";"FT";"Data Scientist";90734;"DE";50;"DE";"L"
"MI";"FT";"Data Engineer";26005;"RO";0;"US";"L"
"SE";"FT";"Finance Data Analyst";61896;"GB";50;"GB";"L"
"MI";"FT";"Data Engineer";4000;"IR";100;"IR";"M"
"SE";"FT";"Data Analytics Engineer";50000;"VN";100;"GB";"M"
"SE";"FT";"Data Engineer";76833;"RO";50;"GB";"S"
"MI";"FT";"ML Engineer";74000;"JP";50;"JP";"S"
"SE";"FT";"Data Science Manager";152000;"US";100;"FR";"L"
"EN";"FT";"ML Engineer";21844;"CO";50;"CO";"M"
"MI";"FT";"Big Data Engineer";18000;"MD";0;"MD";"S"
"SE";"FT";"Data Science Manager";174000;"US";100;"US";"L"
"SE";"FT";"Research Scientist";96113;"CA";50;"CA";"L"
"MI";"FT";"Data Scientist";147000;"US";50;"US";"L"
"EN";"FT";"BI Data Analyst";9272;"KE";100;"KE";"S"
"SE";"FT";"ML Engineer";24342;"IN";100;"IN";"L"
"SE";"FT";"Data Science Manager";54094;"IN";50;"US";"L"
"EN";"FT";"Data Science Consultant";90000;"US";100;"US";"S"
"MI";"FT";"Data Scientist";61467;"DE";50;"AT";"M"
"SE";"FT";"ML Infrastructure Engineer";195000;"US";100;"US";"M"
"MI";"FT";"Data Scientist";37825;"ES";100;"ES";"L"
"SE";"FT";"Research Scientist";50000;"FR";100;"US";"S"
"MI";"FT";"Data Scientist";160000;"US";100;"US";"L"
"MI";"FT";"Data Scientist";12901;"BR";0;"BR";"S"
"SE";"FT";"ML Engineer";200000;"US";100;"US";"L"
"SE";"FT";"Data Engineer";165000;"US";0;"US";"M"
"SE";"FT";"Data Analytics Manager";120000;"US";0;"US";"L"
"MI";"FT";"ML Engineer";24823;"SI";50;"SI";"L"
"MI";"FT";"Research Scientist";56738;"FR";50;"FR";"S"
"MI";"FT";"Data Engineer";66022;"HK";50;"GB";"S"
"EN";"FT";"Big Data Engineer";5882;"IN";0;"CH";"L"
"EN";"FT";"ML Engineer";24823;"DE";50;"DE";"M"
"SE";"FT";"Principal Data Engineer";185000;"US";100;"US";"L"
"MI";"FT";"Data Scientist";90734;"DE";50;"DE";"L"
"MI";"FT";"ML Engineer";88654;"BE";100;"BE";"M"
"SE";"FT";"Data Analytics Manager";140000;"US";100;"US";"L"
"MI";"FT";"ML Engineer";46597;"PL";100;"PL";"L"
"MI";"FT";"Data Scientist";116914;"GB";50;"GB";"L"
"MI";"FT";"Data Scientist";33808;"IN";0;"IN";"M"
"MI";"FT";"Data Scientist";56256;"GB";50;"GB";"L"
"SE";"FT";"ML Scientist";225000;"US";100;"CA";"L"
"SE";"FT";"Data Scientist";87738;"CA";100;"CA";"S"
"MI";"FT";"Data Scientist";88654;"DE";50;"DE";"L"
"SE";"FT";"Data Scientist";135000;"US";0;"US";"L"
"SE";"FT";"Data Analyst";71786;"CA";100;"CA";"M"
"EN";"FT";"Big Data Engineer";16228;"IN";100;"IN";"L"
"SE";"FT";"ML Engineer";256000;"US";100;"US";"S"
"SE";"FT";"Director of Data Engineering";200000;"US";100;"US";"L"
"SE";"FT";"Data Analyst";200000;"US";100;"US";"L"
"MI";"FT";"Data Architect";180000;"US";100;"US";"L"
"MI";"FT";"Head of Data Science";110000;"US";0;"US";"S"
"MI";"FT";"Research Scientist";63810;"CA";100;"CA";"M"
"MI";"FT";"Data Scientist";46809;"ES";100;"ES";"M"
"EN";"FT";"Data Scientist";4000;"VN";0;"VN";"M"
"EN";"FT";"Data Engineer";21637;"IN";50;"IN";"M"
"SE";"FT";"Data Scientist";103691;"CA";100;"CA";"L"
"MI";"FT";"Data Analyst";80000;"US";100;"US";"L"
"MI";"FT";"Data Engineer";110000;"US";100;"US";"L"
"SE";"FT";"Data Scientist";165000;"US";100;"US";"L"
"EN";"FT";"AI Scientist";18053;"IN";100;"AS";"S"
"MI";"FT";"Data Engineer";72212;"GB";50;"GB";"L"
"EN";"FT";"Data Scientist";36643;"FR";50;"FR";"L"
"MI";"FT";"Data Engineer";12103;"TR";0;"TR";"M"
"SE";"FT";"Data Engineer";96282;"GB";50;"GB";"L"
"SE";"FT";"Principal Data Analyst";170000;"US";100;"US";"M"
"MI";"FT";"Data Scientist";115000;"US";50;"US";"L"
"EN";"FT";"Data Scientist";90000;"US";100;"US";"S"
"EN";"FT";"Data Scientist";28399;"IN";100;"IN";"M"
"MI";"FT";"Data Analyst";93000;"US";100;"US";"L"
"SE";"FT";"Big Data Architect";99703;"CA";50;"CA";"M"
"MI";"FT";"Data Engineer";200000;"US";100;"US";"L"
"SE";"FT";"Principal Data Scientist";173762;"DE";100;"DE";"M"
"SE";"FT";"ML Engineer";185000;"US";50;"US";"L"
"MI";"FT";"Data Scientist";130000;"US";50;"US";"L"
"SE";"FT";"Data Analyst";63831;"DE";50;"DE";"L"
"MI";"FT";"Data Scientist";16904;"IN";100;"IN";"S"
"SE";"FT";"ML Engineer";66265;"IN";0;"IN";"L"
"MI";"FT";"Data Scientist";25532;"RS";100;"DE";"S"
"SE";"FT";"Lead Data Engineer";160000;"PR";50;"US";"S"
"MI";"FT";"Data Engineer";93150;"US";0;"US";"M"
"MI";"FT";"Data Engineer";111775;"US";0;"US";"M"
"MI";"FT";"Data Engineer";28016;"TR";100;"TR";"M"
"EN";"FT";"Data Engineer";65013;"DE";50;"DE";"M"
"EN";"FT";"Data Engineer";72500;"US";100;"US";"L"
"SE";"FT";"Computer Vision Engineer";18907;"BR";0;"BR";"M"
"EN";"FT";"Data Science Consultant";76833;"DE";0;"DE";"L"
"EN";"FT";"ML Engineer";85000;"NL";100;"DE";"S"
"SE";"FT";"Data Scientist";77684;"FR";50;"FR";"M"
"EN";"FT";"Data Scientist";100000;"US";100;"US";"M"
"EN";"FT";"Data Scientist";58000;"US";50;"US";"L"
"SE";"FT";"AI Scientist";55000;"ES";100;"ES";"L"
"SE";"FT";"Data Scientist";20171;"TR";50;"TR";"L"
"EN";"FT";"Business Data Analyst";59102;"LU";100;"LU";"L"
"MI";"FT";"Data Engineer";112000;"US";100;"US";"L"
"EN";"FT";"Research Scientist";100000;"JE";0;"CN";"L"
"MI";"FT";"Research Scientist";69999;"CZ";50;"CZ";"L"
"SE";"FT";"Data Science Manager";94665;"IN";50;"IN";"L"
"SE";"FT";"Head of Data";102839;"SI";100;"SI";"L"
"MI";"FT";"Data Scientist";109000;"US";50;"US";"L"
"MI";"FT";"ML Engineer";51064;"IT";50;"IT";"L"
"SE";"FT";"Data Engineer";135000;"US";100;"US";"M"
"SE";"FT";"Data Analyst";155000;"US";100;"US";"M"
"SE";"FT";"Data Analyst";120600;"US";100;"US";"M"
"MI";"FT";"Data Scientist";130000;"US";0;"US";"M"
"MI";"FT";"Data Scientist";90000;"US";0;"US";"M"
"MI";"FT";"Data Engineer";170000;"US";100;"US";"M"
"MI";"FT";"Data Engineer";150000;"US";100;"US";"M"
"SE";"FT";"Data Analyst";102100;"US";100;"US";"M"
"SE";"FT";"Data Analyst";84900;"US";100;"US";"M"
"SE";"FT";"Data Scientist";136620;"US";100;"US";"M"
"SE";"FT";"Data Scientist";99360;"US";100;"US";"M"
"SE";"FT";"Data Scientist";117789;"GB";0;"GB";"M"
"SE";"FT";"Data Scientist";104702;"GB";0;"GB";"M"
"SE";"FT";"Data Scientist";146000;"US";100;"US";"M"
